#
# !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
# !!! This is an automatically generated file !!!
# !!! D O   N O T   E D I T                   !!!
# !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
#
#
#
# kDATA_TOPQ1
#
DATA_TOPQ1 kDATA_TOPQ1 + kBlack /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/DATA/user.carolina.data15_13TeV.00279515.physics_Main.SGTOP1.f628_m1497_p2452.v10_out.root
361348 kWtaunuIncl 17312.4 kGreen-7 /rdsk/dats6/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361348.Sherpa_Wtaunu_Pt0_70_CVetBVet.SGTOP1.e3733_s2608_s2183_r7267_r6282_p2516.v10_out.root
361349 kWtaunuIncl 941.067 kGreen-7 /rdsk/dats2/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361349.Sherpa_Wtaunu_Pt0_70_CFilBVet.SGTOP1.e3733_s2608_s2183_r7267_r6282_p2516.v10_out.root
361350 kWtaunuIncl 1159.92 kGreen-7 /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361350.Sherpa_Wtaunu_Pt0_70_BFil.SGTOP1.e3733_s2608_s2183_r7267_r6282_p2516.v10_out.root
361351 kWtaunuIncl 418.319 kGreen-7 /rdsk/dats6/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361351.Sherpa_Wtaunu_Pt70_140_CVetBVet.SGTOP1.e3733_s2608_s2183_r7267_r6282_p2516.v10_out.root
361352 kWtaunuIncl 101.16 kGreen-7 /rdsk/dats2/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361352.Sherpa_Wtaunu_Pt70_140_CFilBVet.SGTOP1.e3733_s2608_s2183_r7267_r6282_p2516.v10_out.root
361353 kWtaunuIncl 55.3908 kGreen-7 /rdsk/dats6/atlas/SgTopD3PD/mc15_v10/MC/user.smergelm.mc15_13TeV.361353.Sherpa_Wtaunu_Pt70_140_BFil.SGTOP1.e3733_s2608_s2183_r7267_r6282_p2516.v10_out.root
361354 kWtaunuIncl 55.924 kGreen-7 /rdsk/dats5/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361354.Sherpa_Wtaunu_Pt140_280_CVetBVet.SGTOP1.e3733_s2608_s2183_r7267_r6282_p2516.v10_out.root
361355 kWtaunuIncl 16.7641 kGreen-7 /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361355.Sherpa_Wtaunu_Pt140_280_CFilBVet.SGTOP1.e3733_s2608_s2183_r7267_r6282_p2516.v10_out.root
361356 kWtaunuIncl 9.21699 kGreen-7 /rdsk/dats2/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361356.Sherpa_Wtaunu_Pt140_280_BFil.SGTOP1.e3733_s2608_s2183_r7267_r6282_p2516.v10_out.root
361357 kWtaunuIncl 3.39979 kGreen-7 /rdsk/dats6/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361357.Sherpa_Wtaunu_Pt280_500_CVetBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361358 kWtaunuIncl 1.15362 kGreen-7 /rdsk/dats1/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361358.Sherpa_Wtaunu_Pt280_500_CFilBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361359 kWtaunuIncl 0.685908 kGreen-7 /rdsk/dats1/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361359.Sherpa_Wtaunu_Pt280_500_BFil.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361360 kWtaunuIncl 0.199268 kGreen-7 /rdsk/dats2/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361360.Sherpa_Wtaunu_Pt500_700_CVetBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361361 kWtaunuIncl 0.0752074 kGreen-7 /rdsk/dats5/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361361.Sherpa_Wtaunu_Pt500_700_CFilBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361362 kWtaunuIncl 0.05037 kGreen-7 /rdsk/dats6/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361362.Sherpa_Wtaunu_Pt500_700_BFil.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361363 kWtaunuIncl 0.0345688 kGreen-7 /rdsk/dats1/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361363.Sherpa_Wtaunu_Pt700_1000_CVetBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361364 kWtaunuIncl 0.0120259 kGreen-7 /rdsk/dats3/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361364.Sherpa_Wtaunu_Pt700_1000_CFilBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361367 kWtaunuIncl 0.00143304 kGreen-7 /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361367.Sherpa_Wtaunu_Pt1000_2000_CFilBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361368 kWtaunuIncl 0.00102334 kGreen-7 /rdsk/dats6/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361368.Sherpa_Wtaunu_Pt1000_2000_BFil.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361369 kWtaunuIncl 1.45056e-05 kGreen-7 /rdsk/dats3/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361369.Sherpa_Wtaunu_Pt2000_E_CMS_CVetBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361370 kWtaunuIncl 6.3036e-06 kGreen-7 /rdsk/dats8/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361370.Sherpa_Wtaunu_Pt2000_E_CMS_CFilBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361371 kWtaunuIncl 4.46082e-06 kGreen-7 /rdsk/dats1/atlas/SgTopD3PD/mc15_v10/MC/user.carolina.mc15_13TeV.361371.Sherpa_Wtaunu_Pt2000_E_CMS_BFil.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
#
# kZeeIncl
#
361372 kZeeIncl 1547.16 kOrange+1 /rdsk/dats8/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361372.Sherpa_Zee_Pt0_70_CVetBVet.SGTOP1.e3651_s2586_s2174_r7267_r6282_p2516.v10_out.root
361373 kZeeIncl 282.604 kOrange+1 /rdsk/dats3/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361373.Sherpa_Zee_Pt0_70_CFilBVet.SGTOP1.e3651_s2586_s2174_r7267_r6282_p2516.v10_out.root
361374 kZeeIncl 157.996 kOrange+1 /rdsk/dats1/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361374.Sherpa_Zee_Pt0_70_BFil.SGTOP1.e3651_s2586_s2174_r7267_r6282_p2516.v10_out.root
361375 kZeeIncl 44.4047 kOrange+1 /rdsk/dats6/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361375.Sherpa_Zee_Pt70_140_CVetBVet.SGTOP1.e3651_s2586_s2174_r7267_r6282_p2516.v10_out.root
361376 kZeeIncl 15.062 kOrange+1 /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361376.Sherpa_Zee_Pt70_140_CFilBVet.SGTOP1.e3651_s2586_s2174_r7267_r6282_p2516.v10_out.root
361377 kZeeIncl 8.97003 kOrange+1 /rdsk/dats6/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361377.Sherpa_Zee_Pt70_140_BFil.SGTOP1.e3651_s2586_s2174_r7267_r6282_p2516.v10_out.root
361378 kZeeIncl 6.44051 kOrange+1 /rdsk/dats3/atlas/SgTopD3PD/mc15_v10/MC/user.smergelm.mc15_13TeV.361378.Sherpa_Zee_Pt140_280_CVetBVet.SGTOP1.e3651_s2586_s2174_r7267_r6282_p2516.v10_out.root
361379 kZeeIncl 2.54515 kOrange+1 /rdsk/dats5/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361379.Sherpa_Zee_Pt140_280_CFilBVet.SGTOP1.e3651_s2586_s2174_r7267_r6282_p2516.v10_out.root
361380 kZeeIncl 1.5401 kOrange+1 /rdsk/dats5/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361380.Sherpa_Zee_Pt140_280_BFil.SGTOP1.e3651_s2586_s2174_r7267_r6282_p2516.v10_out.root
361381 kZeeIncl 0.402179 kOrange+1 /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361381.Sherpa_Zee_Pt280_500_CVetBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361382 kZeeIncl 0.18138 kOrange+1 /rdsk/dats4/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361382.Sherpa_Zee_Pt280_500_CFilBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361383 kZeeIncl 0.109848 kOrange+1 /rdsk/dats1/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361383.Sherpa_Zee_Pt280_500_BFil.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361384 kZeeIncl 0.0237426 kOrange+1 /rdsk/dats8/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361384.Sherpa_Zee_Pt500_700_CVetBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361385 kZeeIncl 0.0112289 kOrange+1 /rdsk/dats8/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361385.Sherpa_Zee_Pt500_700_CFilBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361386 kZeeIncl 0.00716615 kOrange+1 /rdsk/dats6/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361386.Sherpa_Zee_Pt500_700_BFil.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361387 kZeeIncl 0.0040959 kOrange+1 /rdsk/dats1/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361387.Sherpa_Zee_Pt700_1000_CVetBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361388 kZeeIncl 0.0021539 kOrange+1 /rdsk/dats2/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361388.Sherpa_Zee_Pt700_1000_CFilBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361389 kZeeIncl 0.00131506 kOrange+1 /rdsk/dats8/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361389.Sherpa_Zee_Pt700_1000_BFil.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361390 kZeeIncl 0.000526354 kOrange+1 /rdsk/dats3/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361390.Sherpa_Zee_Pt1000_2000_CVetBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361391 kZeeIncl 0.000300076 kOrange+1 /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361391.Sherpa_Zee_Pt1000_2000_CFilBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361392 kZeeIncl 0.000178131 kOrange+1 /rdsk/dats5/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361392.Sherpa_Zee_Pt1000_2000_BFil.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361393 kZeeIncl 1.85997e-06 kOrange+1 /rdsk/dats8/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361393.Sherpa_Zee_Pt2000_E_CMS_CVetBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361394 kZeeIncl 1.1746e-06 kOrange+1 /rdsk/dats2/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361394.Sherpa_Zee_Pt2000_E_CMS_CFilBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361395 kZeeIncl 7.81538e-07 kOrange+1 /rdsk/dats4/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361395.Sherpa_Zee_Pt2000_E_CMS_BFil.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
#
# kZmumuIncl
#
361396 kZmumuIncl 1547.16 kOrange+1 /rdsk/dats6/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361396.Sherpa_Zmumu_Pt0_70_CVetBVet.SGTOP1.e3651_s2586_s2174_r7267_r6282_p2516.v10_out.root
361397 kZmumuIncl 282.604 kOrange+1 /rdsk/dats1/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361397.Sherpa_Zmumu_Pt0_70_CFilBVet.SGTOP1.e3651_s2586_s2174_r7326_r6282_p2516.v10_out.root
361398 kZmumuIncl 157.996 kOrange+1 /rdsk/dats3/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361398.Sherpa_Zmumu_Pt0_70_BFil.SGTOP1.e3651_s2586_s2174_r7267_r6282_p2516.v10_out.root
361399 kZmumuIncl 44.4047 kOrange+1 /rdsk/dats1/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361399.Sherpa_Zmumu_Pt70_140_CVetBVet.SGTOP1.e3651_s2586_s2174_r7267_r6282_p2516.v10_out.root
361400 kZmumuIncl 15.062 kOrange+1 /rdsk/dats4/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361400.Sherpa_Zmumu_Pt70_140_CFilBVet.SGTOP1.e3651_s2586_s2174_r7267_r6282_p2516.v10_out.root
361401 kZmumuIncl 8.97003 kOrange+1 /rdsk/dats5/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361401.Sherpa_Zmumu_Pt70_140_BFil.SGTOP1.e3651_s2586_s2174_r7267_r6282_p2516.v10_out.root
361402 kZmumuIncl 6.44051 kOrange+1 /rdsk/dats8/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361402.Sherpa_Zmumu_Pt140_280_CVetBVet.SGTOP1.e3651_s2586_s2174_r7267_r6282_p2516.v10_out.root
361403 kZmumuIncl 2.54515 kOrange+1 /rdsk/dats6/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361403.Sherpa_Zmumu_Pt140_280_CFilBVet.SGTOP1.e3651_s2586_s2174_r7267_r6282_p2516.v10_out.root
361404 kZmumuIncl 1.5401 kOrange+1 /rdsk/dats2/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361404.Sherpa_Zmumu_Pt140_280_BFil.SGTOP1.e3651_s2586_s2174_r7267_r6282_p2516.v10_out.root
361405 kZmumuIncl 0.402179 kOrange+1 /rdsk/dats6/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361405.Sherpa_Zmumu_Pt280_500_CVetBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361406 kZmumuIncl 0.18138 kOrange+1 /rdsk/dats8/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361406.Sherpa_Zmumu_Pt280_500_CFilBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361407 kZmumuIncl 0.109848 kOrange+1 /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361407.Sherpa_Zmumu_Pt280_500_BFil.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361408 kZmumuIncl 0.0237426 kOrange+1 /rdsk/dats5/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361408.Sherpa_Zmumu_Pt500_700_CVetBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361409 kZmumuIncl 0.0112289 kOrange+1 /rdsk/dats4/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361409.Sherpa_Zmumu_Pt500_700_CFilBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361410 kZmumuIncl 0.00716615 kOrange+1 /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361410.Sherpa_Zmumu_Pt500_700_BFil.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361411 kZmumuIncl 0.0040959 kOrange+1 /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361411.Sherpa_Zmumu_Pt700_1000_CVetBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361412 kZmumuIncl 0.0021539 kOrange+1 /rdsk/dats8/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361412.Sherpa_Zmumu_Pt700_1000_CFilBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361413 kZmumuIncl 0.00131506 kOrange+1 /rdsk/dats2/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361413.Sherpa_Zmumu_Pt700_1000_BFil.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361414 kZmumuIncl 0.000526354 kOrange+1 /rdsk/dats4/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361414.Sherpa_Zmumu_Pt1000_2000_CVetBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361415 kZmumuIncl 0.000300076 kOrange+1 /rdsk/dats6/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361415.Sherpa_Zmumu_Pt1000_2000_CFilBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361416 kZmumuIncl 0.000178131 kOrange+1 /rdsk/dats1/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361416.Sherpa_Zmumu_Pt1000_2000_BFil.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361417 kZmumuIncl 1.85997e-06 kOrange+1 /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361417.Sherpa_Zmumu_Pt2000_E_CMS_CVetBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361418 kZmumuIncl 1.1746e-06 kOrange+1 /rdsk/dats8/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361418.Sherpa_Zmumu_Pt2000_E_CMS_CFilBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361419 kZmumuIncl 7.81538e-07 kOrange+1 /rdsk/dats5/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361419.Sherpa_Zmumu_Pt2000_E_CMS_BFil.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
#
# kZtautauIncl
#
361420 kZtautauIncl 1547.16 kOrange+1 /rdsk/dats4/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361420.Sherpa_Ztautau_Pt0_70_CVetBVet.SGTOP1.e3733_s2608_s2183_r7267_r6282_p2516.v10_out.root
361421 kZtautauIncl 282.604 kOrange+1 /rdsk/dats3/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361421.Sherpa_Ztautau_Pt0_70_CFilBVet.SGTOP1.e3733_s2608_s2183_r7267_r6282_p2516.v10_out.root
361422 kZtautauIncl 157.996 kOrange+1 /rdsk/dats8/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361422.Sherpa_Ztautau_Pt0_70_BFil.SGTOP1.e3733_s2608_s2183_r7267_r6282_p2516.v10_out.root
361423 kZtautauIncl 44.4047 kOrange+1 /rdsk/dats1/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361423.Sherpa_Ztautau_Pt70_140_CVetBVet.SGTOP1.e3733_s2608_s2183_r7267_r6282_p2516.v10_out.root
361424 kZtautauIncl 15.062 kOrange+1 /rdsk/dats8/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361424.Sherpa_Ztautau_Pt70_140_CFilBVet.SGTOP1.e3733_s2608_s2183_r7267_r6282_p2516.v10_out.root
361425 kZtautauIncl 8.97003 kOrange+1 /rdsk/dats1/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361425.Sherpa_Ztautau_Pt70_140_BFil.SGTOP1.e3733_s2608_s2183_r7267_r6282_p2516.v10_out.root
361426 kZtautauIncl 6.44051 kOrange+1 /rdsk/dats2/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361426.Sherpa_Ztautau_Pt140_280_CVetBVet.SGTOP1.e3733_s2608_s2183_r7267_r6282_p2516.v10_out.root
361427 kZtautauIncl 2.54515 kOrange+1 /rdsk/dats6/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361427.Sherpa_Ztautau_Pt140_280_CFilBVet.SGTOP1.e3733_s2608_s2183_r7267_r6282_p2516.v10_out.root
361428 kZtautauIncl 1.5401 kOrange+1 /rdsk/dats3/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361428.Sherpa_Ztautau_Pt140_280_BFil.SGTOP1.e3733_s2608_s2183_r7267_r6282_p2516.v10_out.root
361429 kZtautauIncl 0.402179 kOrange+1 /rdsk/dats3/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361429.Sherpa_Ztautau_Pt280_500_CVetBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361430 kZtautauIncl 0.18138 kOrange+1 /rdsk/dats5/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361430.Sherpa_Ztautau_Pt280_500_CFilBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361431 kZtautauIncl 0.109848 kOrange+1 /rdsk/dats8/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361431.Sherpa_Ztautau_Pt280_500_BFil.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361432 kZtautauIncl 0.0237426 kOrange+1 /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361432.Sherpa_Ztautau_Pt500_700_CVetBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361433 kZtautauIncl 0.0112289 kOrange+1 /rdsk/dats3/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361433.Sherpa_Ztautau_Pt500_700_CFilBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361434 kZtautauIncl 0.00716615 kOrange+1 /rdsk/dats8/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361434.Sherpa_Ztautau_Pt500_700_BFil.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361435 kZtautauIncl 0.0040959 kOrange+1 /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361435.Sherpa_Ztautau_Pt700_1000_CVetBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361436 kZtautauIncl 0.0021539 kOrange+1 /rdsk/dats2/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361436.Sherpa_Ztautau_Pt700_1000_CFilBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361437 kZtautauIncl 0.00131506 kOrange+1 /rdsk/dats4/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361437.Sherpa_Ztautau_Pt700_1000_BFil.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361438 kZtautauIncl 0.000526354 kOrange+1 /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361438.Sherpa_Ztautau_Pt1000_2000_CVetBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361439 kZtautauIncl 0.000300076 kOrange+1 /rdsk/dats5/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361439.Sherpa_Ztautau_Pt1000_2000_CFilBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361440 kZtautauIncl 0.000178131 kOrange+1 /rdsk/dats1/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361440.Sherpa_Ztautau_Pt1000_2000_BFil.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
361441 kZtautauIncl 1.85997e-06 kOrange+1 /rdsk/dats8/atlas/SgTopD3PD/mc15_v10/MC/user.cescobar.mc15_13TeV.361441.Sherpa_Ztautau_Pt2000_E_CMS_CVetBVet.SGTOP1.e4133_s2608_s2183_r7326_r6282_p2516.v10_out.root
#
# kDibosonWW
#
361610 kDibosonWW 2.2739 kOrange /rdsk/dats2/atlas/SgTopD3PD/mc15_v10/MC/user.smergelm.mc15_13TeV.361610.PowPy8Ev_AZ_ZZqqll_mqq20mll20.SGTOP1.e4054_s2608_s2183_r7267_r6282_p2516.v10_out.root
361609 kDibosonWW 10.099 kOrange /rdsk/dats2/atlas/SgTopD3PD/mc15_v10/MC/user.smergelm.mc15_13TeV.361609.PowPy8Ev_AZ_WZlvqq_mqq20.SGTOP1.e4054_s2608_s2183_r7267_r6282_p2516.v10_out.root
361607 kDibosonWZ 3.2849 kOrange /rdsk/dats2/atlas/SgTopD3PD/mc15_v10/MC/user.smergelm.mc15_13TeV.361607.PowPy8Ev_AZ_WZqqll_mll20.SGTOP1.e4054_s2608_s2183_r7267_r6282_p2516.v10_out.root
361606 kDibosonWZ 44.176 kOrange /rdsk/dats2/atlas/SgTopD3PD/mc15_v10/MC/user.smergelm.mc15_13TeV.361606.PowPy8Ev_AZ_WWlvqq.SGTOP1.e4054_s2608_s2183_r7267_r6282_p2516.v10_out.root
361604 kDibosonZZ 0.92498 kOrange /rdsk/dats5/atlas/SgTopD3PD/mc15_v10/MC/user.smergelm.mc15_13TeV.361604.PowPy8Ev_AZ_ZZvvll_mll4.SGTOP1.e4475_s2726_r7267_r6282_p2516.v10_out.root
361603 kDibosonZZ 1.2568 kOrange /rdsk/dats7/atlas/SgTopD3PD/mc15_v10/MC/user.smergelm.mc15_13TeV.361603.PowPy8Ev_AZ_ZZllll_mll4.SGTOP1.e4475_s2726_r7267_r6282_p2516.v10_out.root
